Epoch:1 || epochiter: 390/517|| Totel iter 390 || L: 2.4847 C: 11.6210||||Total loss: 14.1057Batch time: 1.4578 sec. ||LR: 0.00060433
Epoch:1 || epochiter: 400/517|| Totel iter 400 || L: 2.7348 C: 10.9865||||Total loss: 13.7213Batch time: 1.5892 sec. ||LR: 0.00061980
Epoch:1 || epochiter: 410/517|| Totel iter 410 || L: 2.7125 C: 11.5420||||Total loss: 14.2545Batch time: 1.4167 sec. ||LR: 0.00063527
Epoch:1 || epochiter: 420/517|| Totel iter 420 || L: 2.7102 C: 11.0466||||Total loss: 13.7568Batch time: 1.5785 sec. ||LR: 0.00065074
Epoch:1 || epochiter: 430/517|| Totel iter 430 || L: 2.5932 C: 11.1250||||Total loss: 13.7182Batch time: 1.7012 sec. ||LR: 0.00066621
Epoch:1 || epochiter: 440/517|| Totel iter 440 || L: 2.7770 C: 10.6426||||Total loss: 13.4196Batch time: 1.5284 sec. ||LR: 0.00068168
Epoch:1 || epochiter: 450/517|| Totel iter 450 || L: 2.5730 C: 10.6424||||Total loss: 13.2154Batch time: 1.7782 sec. ||LR: 0.00069715
Epoch:1 || epochiter: 460/517|| Totel iter 460 || L: 2.7321 C: 10.5589||||Total loss: 13.2910Batch time: 1.5150 sec. ||LR: 0.00071262
Epoch:1 || epochiter: 470/517|| Totel iter 470 || L: 2.4640 C: 10.5441||||Total loss: 13.0082Batch time: 1.4030 sec. ||LR: 0.00072809
Epoch:1 || epochiter: 480/517|| Totel iter 480 || L: 2.8109 C: 9.0140||||Total loss: 11.8248Batch time: 1.6321 sec. ||LR: 0.00074356
Epoch:1 || epochiter: 490/517|| Totel iter 490 || L: 2.5727 C: 8.3129||||Total loss: 10.8857Batch time: 1.5123 sec. ||LR: 0.00075903
Epoch:1 || epochiter: 500/517|| Totel iter 500 || L: 2.5399 C: 7.1604||||Total loss: 9.7003Batch time: 1.4681 sec. ||LR: 0.00077450
Epoch:1 || epochiter: 510/517|| Totel iter 510 || L: 2.6323 C: 6.9125||||Total loss: 9.5448Batch time: 1.3960 sec. ||LR: 0.00078997
Epoch:2 || epochiter: 3/517|| Totel iter 520 || L: 2.6110 C: 6.4026||||Total loss: 9.0136Batch time: 1.4768 sec. ||LR: 0.00080544
Epoch:2 || epochiter: 13/517|| Totel iter 530 || L: 2.5488 C: 5.8813||||Total loss: 8.4300Batch time: 1.5038 sec. ||LR: 0.00082091
Epoch:2 || epochiter: 23/517|| Totel iter 540 || L: 2.4667 C: 5.5567||||Total loss: 8.0233Batch time: 1.5638 sec. ||LR: 0.00083638
Epoch:2 || epochiter: 33/517|| Totel iter 550 || L: 2.5317 C: 6.1860||||Total loss: 8.7177Batch time: 1.8086 sec. ||LR: 0.00085185
Epoch:2 || epochiter: 43/517|| Totel iter 560 || L: 2.4829 C: 5.5573||||Total loss: 8.0402Batch time: 1.4361 sec. ||LR: 0.00086732
Epoch:2 || epochiter: 53/517|| Totel iter 570 || L: 2.4206 C: 6.1527||||Total loss: 8.5734Batch time: 1.3877 sec. ||LR: 0.00088279
Epoch:2 || epochiter: 63/517|| Totel iter 580 || L: 2.7026 C: 5.6860||||Total loss: 8.3886Batch time: 1.4984 sec. ||LR: 0.00089826
Epoch:2 || epochiter: 73/517|| Totel iter 590 || L: 2.4763 C: 5.2602||||Total loss: 7.7365Batch time: 1.4818 sec. ||LR: 0.00091373
Epoch:2 || epochiter: 83/517|| Totel iter 600 || L: 2.3918 C: 5.5979||||Total loss: 7.9897Batch time: 1.4012 sec. ||LR: 0.00092920
Epoch:2 || epochiter: 93/517|| Totel iter 610 || L: 2.4258 C: 5.4076||||Total loss: 7.8334Batch time: 1.5196 sec. ||LR: 0.00094467
Epoch:2 || epochiter: 103/517|| Totel iter 620 || L: 2.5105 C: 4.9515||||Total loss: 7.4620Batch time: 1.4573 sec. ||LR: 0.00096014
Epoch:2 || epochiter: 113/517|| Totel iter 630 || L: 2.3582 C: 5.3965||||Total loss: 7.7547Batch time: 1.4470 sec. ||LR: 0.00097561
Epoch:2 || epochiter: 123/517|| Totel iter 640 || L: 2.3986 C: 4.8264||||Total loss: 7.2250Batch time: 1.5625 sec. ||LR: 0.00099108
Epoch:2 || epochiter: 133/517|| Totel iter 650 || L: 2.5379 C: 5.1861||||Total loss: 7.7240Batch time: 1.5649 sec. ||LR: 0.00100655
Epoch:2 || epochiter: 143/517|| Totel iter 660 || L: 2.4557 C: 4.7460||||Total loss: 7.2017Batch time: 1.8894 sec. ||LR: 0.00102202
Epoch:2 || epochiter: 153/517|| Totel iter 670 || L: 2.5276 C: 5.0812||||Total loss: 7.6088Batch time: 1.7090 sec. ||LR: 0.00103749
Epoch:2 || epochiter: 163/517|| Totel iter 680 || L: 2.1391 C: 4.7500||||Total loss: 6.8892Batch time: 1.5630 sec. ||LR: 0.00105296
Epoch:2 || epochiter: 173/517|| Totel iter 690 || L: 2.4981 C: 5.3790||||Total loss: 7.8770Batch time: 1.5611 sec. ||LR: 0.00106843
Epoch:2 || epochiter: 183/517|| Totel iter 700 || L: 2.2393 C: 4.7629||||Total loss: 7.0022Batch time: 1.6044 sec. ||LR: 0.00108390
Epoch:2 || epochiter: 193/517|| Totel iter 710 || L: 2.3387 C: 5.0202||||Total loss: 7.3589Batch time: 1.5370 sec. ||LR: 0.00109937
Epoch:2 || epochiter: 203/517|| Totel iter 720 || L: 2.3977 C: 5.0317||||Total loss: 7.4293Batch time: 1.4146 sec. ||LR: 0.00111484
Epoch:2 || epochiter: 213/517|| Totel iter 730 || L: 2.2887 C: 4.8444||||Total loss: 7.1331Batch time: 1.3641 sec. ||LR: 0.00113031
Epoch:2 || epochiter: 223/517|| Totel iter 740 || L: 2.2054 C: 5.1560||||Total loss: 7.3614Batch time: 1.2276 sec. ||LR: 0.00114578
Epoch:2 || epochiter: 233/517|| Totel iter 750 || L: 2.3778 C: 4.8661||||Total loss: 7.2440Batch time: 1.4927 sec. ||LR: 0.00116125
Epoch:2 || epochiter: 243/517|| Totel iter 760 || L: 2.4150 C: 5.0670||||Total loss: 7.4820Batch time: 1.4896 sec. ||LR: 0.00117672
Epoch:2 || epochiter: 253/517|| Totel iter 770 || L: 2.6898 C: 5.1073||||Total loss: 7.7971Batch time: 1.6602 sec. ||LR: 0.00119219
Epoch:2 || epochiter: 263/517|| Totel iter 780 || L: 2.3280 C: 5.0905||||Total loss: 7.4185Batch time: 1.5903 sec. ||LR: 0.00120766
Epoch:2 || epochiter: 273/517|| Totel iter 790 || L: 2.1528 C: 5.1403||||Total loss: 7.2931Batch time: 1.4976 sec. ||LR: 0.00122313
Epoch:2 || epochiter: 283/517|| Totel iter 800 || L: 2.3133 C: 5.0173||||Total loss: 7.3306Batch time: 1.5491 sec. ||LR: 0.00123860
Epoch:2 || epochiter: 293/517|| Totel iter 810 || L: 2.3507 C: 4.8659||||Total loss: 7.2165Batch time: 1.4352 sec. ||LR: 0.00125407
Epoch:2 || epochiter: 303/517|| Totel iter 820 || L: 2.2368 C: 5.0097||||Total loss: 7.2465Batch time: 1.5968 sec. ||LR: 0.00126954
Epoch:2 || epochiter: 313/517|| Totel iter 830 || L: 2.2397 C: 4.7609||||Total loss: 7.0006Batch time: 1.6130 sec. ||LR: 0.00128501
Epoch:2 || epochiter: 323/517|| Totel iter 840 || L: 2.2285 C: 4.8737||||Total loss: 7.1022Batch time: 1.5368 sec. ||LR: 0.00130048
Epoch:2 || epochiter: 333/517|| Totel iter 850 || L: 2.2386 C: 4.8540||||Total loss: 7.0926Batch time: 1.7145 sec. ||LR: 0.00131595
Epoch:2 || epochiter: 343/517|| Totel iter 860 || L: 2.0559 C: 4.9971||||Total loss: 7.0529Batch time: 1.3849 sec. ||LR: 0.00133142
Epoch:2 || epochiter: 353/517|| Totel iter 870 || L: 2.0411 C: 4.7727||||Total loss: 6.8138Batch time: 1.6226 sec. ||LR: 0.00134689
Epoch:2 || epochiter: 363/517|| Totel iter 880 || L: 2.0558 C: 5.0853||||Total loss: 7.1411Batch time: 1.5398 sec. ||LR: 0.00136236
Epoch:2 || epochiter: 373/517|| Totel iter 890 || L: 2.1120 C: 5.1073||||Total loss: 7.2193Batch time: 1.4588 sec. ||LR: 0.00137783
Epoch:2 || epochiter: 383/517|| Totel iter 900 || L: 2.2084 C: 5.0275||||Total loss: 7.2359Batch time: 1.3872 sec. ||LR: 0.00139330
Epoch:2 || epochiter: 393/517|| Totel iter 910 || L: 2.1096 C: 4.6583||||Total loss: 6.7679Batch time: 1.5863 sec. ||LR: 0.00140877
Epoch:2 || epochiter: 403/517|| Totel iter 920 || L: 2.3142 C: 4.6979||||Total loss: 7.0121Batch time: 1.4926 sec. ||LR: 0.00142424
Epoch:2 || epochiter: 413/517|| Totel iter 930 || L: 1.9618 C: 4.9847||||Total loss: 6.9465Batch time: 1.4635 sec. ||LR: 0.00143971
Epoch:2 || epochiter: 423/517|| Totel iter 940 || L: 2.0337 C: 4.8266||||Total loss: 6.8602Batch time: 1.4715 sec. ||LR: 0.00145518
Epoch:2 || epochiter: 433/517|| Totel iter 950 || L: 1.6752 C: 4.8459||||Total loss: 6.5212Batch time: 1.3665 sec. ||LR: 0.00147065
Epoch:2 || epochiter: 443/517|| Totel iter 960 || L: 2.0303 C: 4.9564||||Total loss: 6.9867Batch time: 1.5579 sec. ||LR: 0.00148612
Epoch:2 || epochiter: 453/517|| Totel iter 970 || L: 2.1568 C: 4.6058||||Total loss: 6.7627Batch time: 1.6486 sec. ||LR: 0.00150159
Epoch:2 || epochiter: 463/517|| Totel iter 980 || L: 2.1507 C: 5.1058||||Total loss: 7.2565Batch time: 1.4995 sec. ||LR: 0.00151706
Epoch:2 || epochiter: 473/517|| Totel iter 990 || L: 2.1477 C: 4.4137||||Total loss: 6.5614Batch time: 1.5672 sec. ||LR: 0.00153253
Epoch:2 || epochiter: 483/517|| Totel iter 1000 || L: 2.2358 C: 4.5593||||Total loss: 6.7952Batch time: 1.5366 sec. ||LR: 0.00154800
